original_index,question,cypher,typeql
0,Which characters have a book1BetweennessCentrality greater than 2000?,"MATCH (c:Character)
WHERE c.book1BetweennessCentrality > 2000
RETURN c.name AS character, c.book1BetweennessCentrality AS centrality","match
  $c isa character;
  $c has book1_betweenness_centrality $c_book1_betweenness_centrality;
  $c_book1_betweenness_centrality > 2000;
fetch { ""character"": $c.name, ""centrality"": $c.book1_betweenness_centrality };"
1,List the top 3 characters with the highest book45PageRank.,"MATCH (c:Character)
RETURN c.name, c.book45PageRank
ORDER BY c.book45PageRank DESC
LIMIT 3","match
  $c isa character;
  $c has book45_page_rank $c_book45_page_rank;
sort $c_book45_page_rank desc;
limit 3;
fetch { ""c_name"": $c.name, ""c_book45_page_rank"": $c.book45_page_rank };"
2,Find all characters with a centrality of 0 and limit the results to 5.,"MATCH (c:Character)
WHERE c.centrality = 0
RETURN c
LIMIT 5","match
  $c isa character;
  $c has centrality $c_centrality;
  $c_centrality == 0;
limit 5;
fetch { ""c_name"": $c.name };"
3,Who are the top 5 characters by degree in the database?,"MATCH (c:Character)
RETURN c.name, c.degree
ORDER BY c.degree DESC
LIMIT 5","match
  $c isa character;
  $c has degree $c_degree;
sort $c_degree desc;
limit 5;
fetch { ""c_name"": $c.name, ""c_degree"": $c.degree };"
4,Retrieve the names of 3 characters who have a louvain community number of 1.,"MATCH (c:Character)
WHERE c.louvain = 1
RETURN c.name
LIMIT 3","match
  $c isa character;
  $c has louvain $c_louvain;
  $c_louvain == 1;
limit 3;
fetch { ""c_name"": $c.name };"
5,Which characters are part of a community number greater than 750?,"MATCH (c:Character)
WHERE c.community > 750
RETURN c.name","match
  $c isa character;
  $c has community $c_community;
  $c_community > 750;
fetch { ""c_name"": $c.name };"
6,List three characters with a pagerank less than 1.,"MATCH (c:Character)
WHERE c.pagerank < 1
RETURN c.name
LIMIT 3","match
  $c isa character;
  $c has pagerank $c_pagerank;
  $c_pagerank < 1;
limit 3;
fetch { ""c_name"": $c.name };"
8,What are the names of the characters that have an INTERACTS45 relationship with a weight greater than 50?,"MATCH (c1:Character)-[i:INTERACTS45]->(c2:Character)
WHERE i.weight > 50
RETURN c1.name, c2.name","match
  $c1 isa character;
  $c2 isa character;
  (character1: $c1, character2: $c2) isa interacts45, has weight $rel_weight;
  $rel_weight > 50;
fetch { ""c1_name"": $c1.name, ""c2_name"": $c2.name };"
9,Fetch the top 5 characters based on the book1PageRank.,"MATCH (c:Character)
RETURN c.name, c.book1PageRank
ORDER BY c.book1PageRank DESC
LIMIT 5","match
  $c isa character;
  $c has book1_page_rank $c_book1_page_rank;
sort $c_book1_page_rank desc;
limit 5;
fetch { ""c_name"": $c.name, ""c_book1_page_rank"": $c.book1_page_rank };"
10,"Find all characters involved in an INTERACTS relationship with a weight below 10, limit to 5 results.","MATCH (c1:Character)-[i:INTERACTS]->(c2:Character)
WHERE i.weight < 10
RETURN c1.name, i.weight, c2.name
LIMIT 5","match
  $c1 isa character;
  $c2 isa character;
  (character1: $c1, character2: $c2) isa interacts, has weight $rel_weight;
  $rel_weight < 10;
limit 5;
fetch { ""c1_name"": $c1.name, ""weight"": $rel_weight, ""c2_name"": $c2.name };"
11,Who are the characters with a community number between 600 and 700?,"MATCH (c:Character)
WHERE c.community >= 600 AND c.community <= 700
RETURN c.name AS character","match
  $c isa character;
  $c has community $c_community;
  $c_community >= 600;
  $c_community <= 700;
fetch { ""character"": $c.name };"
12,Retrieve the first 3 characters who interact in book 1 with a weight of exactly 291.,"MATCH (c1:Character)-[i:INTERACTS1]->(c2:Character)
WHERE i.weight = 291
RETURN c1.name, c2.name
LIMIT 3","match
  $c1 isa character;
  $c2 isa character;
  (character1: $c1, character2: $c2) isa interacts1, has weight $rel_weight;
  $rel_weight == 291;
limit 3;
fetch { ""c1_name"": $c1.name, ""c2_name"": $c2.name };"
13,List the characters with an INTERACTS2 relationship of weight less than 20.,"MATCH (c1:Character)-[r:INTERACTS2]->(c2:Character)
WHERE r.weight < 20
RETURN c1.name AS character1, c2.name AS character2, r.weight AS weight","match
  $c1 isa character;
  $c2 isa character;
  (character1: $c1, character2: $c2) isa interacts2, has weight $rel_weight;
  $rel_weight < 20;
fetch { ""character1"": $c1.name, ""character2"": $c2.name, ""weight"": $rel_weight };"
14,Who are the characters connected by an INTERACTS3 relationship with a weight above 80?,"MATCH (c1:Character)-[i:INTERACTS3]->(c2:Character)
WHERE i.weight > 80
RETURN c1.name AS character1, c2.name AS character2, i.weight AS weight","match
  $c1 isa character;
  $c2 isa character;
  (character1: $c1, character2: $c2) isa interacts3, has weight $rel_weight;
  $rel_weight > 80;
fetch { ""character1"": $c1.name, ""character2"": $c2.name, ""weight"": $rel_weight };"
