original_index,question,cypher,typeql
0,Name the first 3 people born before 1970 who produced a movie released after 2000.,"MATCH (p:Person)-[:PRODUCED]->(m:Movie)
WHERE p.born < 1970 AND m.released > 2000
RETURN p.name
ORDER BY p.born
LIMIT 3","match
$p isa person, has born $b;
$b < 1970;
$m isa movie, has released $r;
$r > 2000;
produced (producer: $p, film: $m);
sort $b;
limit 3;
fetch {
  ""name"": $p.name
};"
1,Which movies released between 2005 and 2010 have the tagline 'Speed has no limits'?,"MATCH (m:Movie)
WHERE m.released >= 2005 AND m.released <= 2010 AND m.tagline = 'Speed has no limits'
RETURN m.title","match
$m isa movie, has released $r, has tagline ""Speed has no limits"";
$r >= 2005;
$r <= 2010;
fetch {
  ""title"": $m.title
};"
2,Who are the top 3 people born after 1960 who have directed a movie titled 'V for Vendetta'?,"MATCH (p:Person)-[:DIRECTED]->(m:Movie {title: 'V for Vendetta'})
WHERE p.born > 1960
RETURN p.name, p.born
ORDER BY p.born DESC
LIMIT 3","match
  $p isa person, has name $name, has born $born;
  $born > 1960;
  directed (director: $p, film: $m);
  $m isa movie, has title ""V for Vendetta"";
sort $born desc;
limit 3;
fetch {
  ""name"": $name,
  ""born"": $born
};"
3,Which top 3 movies have been both produced and reviewed by the same person?,"MATCH (p:Person)-[:PRODUCED]->(m:Movie)<-[:REVIEWED]-(p)
WITH m, COUNT(*) AS review_count
ORDER BY review_count DESC
LIMIT 3
RETURN m.title AS movie_title, review_count","match
$p isa person;
$m isa movie;
produced (producer: $p, film: $m);
reviewed (reviewer: $p, film: $m);
reduce $review_count = count groupby $m;
sort $review_count desc;
limit 3;
fetch {
  ""movie_title"": $m.title,
  ""review_count"": $review_count
};"
4,"Name the first 3 people who have reviewed a movie with a summary stating 'Silly, but fun'.","MATCH (p:Person)-[r:REVIEWED]->(m:Movie)
WHERE r.summary = 'Silly, but fun'
RETURN p.name
LIMIT 3","match
$p isa person;
$r isa reviewed (reviewer: $p, film: $m);
$r has summary ""Silly, but fun"";
limit 3;
fetch {
  ""name"": $p.name
};"
5,List the top 5 movies with a tagline mentioning 'compelling' and having more than 50 votes.,"MATCH (m:Movie)
WHERE m.tagline CONTAINS 'compelling' AND m.votes > 50
RETURN m.title, m.votes, m.tagline
ORDER BY m.votes DESC
LIMIT 5","match
$m isa movie, has tagline $tl, has votes $v;
$tl like "".*compelling.*"";
$v > 50;
sort $v desc;
limit 5;
fetch {
  ""title"": $m.title,
  ""votes"": $v,
  ""tagline"": $tl
};"
6,Who are the top 3 persons who have both directed and produced the same movie?,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:PRODUCED]-(p)
WITH p, COUNT(m) AS movieCount
ORDER BY movieCount DESC
LIMIT 3
RETURN p.name AS personName, movieCount","match
$p isa person;
$m isa movie;
directed (director: $p, film: $m);
produced (producer: $p, film: $m);
reduce $count = count($m) groupby $p;
sort $count desc;
limit 3;
fetch { ""personName"": $p.name, ""movieCount"": $count };"
7,List the first 3 movies directed by persons who were born after 1950 and before 1960.,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)
WHERE p.born > 1950 AND p.born < 1960
RETURN m.title AS MovieTitle, m.released AS ReleaseYear
ORDER BY m.released
LIMIT 3","match
$p isa person, has born $b;
$b > 1950;
$b < 1960;
$m isa movie, has released $r;
directed (director: $p, film: $m);
sort $r asc;
limit 3;
fetch {
  ""MovieTitle"": $m.title,
  ""ReleaseYear"": $r
};"
8,What are the names of the top 5 people who acted in and also reviewed the same movie?,"MATCH (p:Person)-[:ACTED_IN]->(m:Movie)<-[:REVIEWED]-(p)
RETURN p.name, COUNT(m) AS movie_count
ORDER BY movie_count DESC
LIMIT 5","match
$p isa person, has name $n;
$m isa movie;
acted_in (actor: $p, film: $m);
reviewed (reviewer: $p, film: $m);
reduce $count = count($m) groupby $p, $n;
sort $count desc;
limit 5;
fetch { ""name"": $n };"
9,List the first 5 movies that have been acted in by someone with the role 'Captain' and reviewed with a rating below 60.,"MATCH (p:Person)-[:ACTED_IN]->(m:Movie)
WHERE 'Captain' IN p.roles
WITH m
MATCH (m)<-[:REVIEWED]-(r:Person)
WHERE r.rating < 60
RETURN m.title AS MovieTitle
LIMIT 5","match
$m isa movie;
$act isa acted_in (actor: $p, film: $m);
$act has roles ""Captain"";
$rev isa reviewed (reviewer: $r, film: $m);
$rev has rating $rat;
$rat < 60;
limit 5;
fetch {
  ""MovieTitle"": $m.title
};"
