original_index,question,cypher,typeql
0,What are the first 3 games played by the stream 'itsbigchase'?,"MATCH (s:Stream {name: 'itsbigchase'})-[:PLAYS]->(g:Game)
RETURN g.name AS game
ORDER BY s.createdAt
LIMIT 3","match
  $s isa stream, has name ""itsbigchase"", has created_at $ca;
  game_play (streaming_channel: $s, played_game: $g);
  $g has name $gn;
sort $ca asc;
limit 3;
fetch { ""game"": $gn };"
1,List the top 5 streams that have a total view count greater than 5000000.,"MATCH (s:Stream)
WHERE s.total_view_count > 5000000
RETURN s.name AS stream_name, s.total_view_count AS view_count
ORDER BY s.total_view_count DESC
LIMIT 5","match
  $s isa stream, has name $sn, has total_view_count $tvc;
  $tvc > 5000000;
sort $tvc desc;
limit 5;
fetch { ""stream_name"": $sn, ""view_count"": $tvc };"
2,Which users are moderators for the stream with the name '9linda'?,"MATCH (s:Stream {name: '9linda'})<-[:MODERATOR]-(u:User)
RETURN u.name AS user","match
  $s isa stream, has name ""9linda"";
  moderation (moderated_channel: $s, moderating_user: $u);
  $u has name $un;
fetch { ""user"": $un };"
3,Find the top 3 languages used by streams with more than 1000000 followers.,"MATCH (s:Stream)-[:HAS_LANGUAGE]->(l:Language)
WHERE s.followers > 1000000
RETURN l.name AS language, count(*) AS count
ORDER BY count DESC
LIMIT 3","match
  $s isa stream, has followers $f;
  $f > 1000000;
  language_usage (channel: $s, used_language: $l);
  $l has name $ln;
reduce $count = count($s) groupby $ln;
sort $count desc;
limit 3;"
4,What are the first 3 streams that have a follower count between 20000 and 50000?,"MATCH (s:Stream)
WHERE s.followers >= 20000 AND s.followers <= 50000
RETURN s.name, s.followers
ORDER BY s.followers DESC
LIMIT 3","match
  $s isa stream, has name $sn, has followers $f;
  $f >= 20000;
  $f <= 50000;
sort $f desc;
limit 3;
fetch { ""name"": $sn, ""followers"": $f };"
5,List the names of the first 5 streams that were created before 2015.,"MATCH (s:Stream)
WHERE s.createdAt < date(""2015-01-01"")
RETURN s.name
ORDER BY s.createdAt
LIMIT 5","match
  $s isa stream, has name $sn, has created_at $ca;
  $ca < 2015-01-01;
sort $ca asc;
limit 5;
fetch { ""name"": $sn };"
6,Who are the top 3 VIPs in the stream named 'summit1g'?,"MATCH (s:Stream {name: 'summit1g'})<-[:VIP]-(vip:User)
RETURN vip.name AS vip, vip.followers AS followers
ORDER BY followers DESC
LIMIT 3","match
  $s isa stream, has name ""summit1g"";
  vip_status (channel_with_vips: $s, vip_user: $vip);
  $vip has name $vn;
limit 3;
fetch { ""vip"": $vn };"
7,What are the first 3 teams associated with the stream 'itsbigchase'?,"MATCH (s:Stream {name: 'itsbigchase'})-[:HAS_TEAM]->(t:Team)
RETURN t.name
LIMIT 3","match
  $s isa stream, has name ""itsbigchase"";
  team_membership (member_stream: $s, organization: $t);
  $t has name $tn;
limit 3;
fetch { ""name"": $tn };"
8,Which streams are chatters in the stream with the name '9linda'?,"MATCH (s:Stream)<-[:CHATTER]-(chatter:Stream)
WHERE s.name = '9linda'
RETURN chatter","match
  $s isa stream, has name ""9linda"";
  chat_activity (channel_with_chatters: $s, chatting_channel: $chatter);
fetch { ""name"": $chatter.name };"
9,List the first 5 users who are chatters in more than one stream.,"MATCH (u:User)-[:CHATTER]->(:Stream)
WITH u, count(DISTINCT u) AS num_streams
WHERE num_streams > 1
RETURN u.name, u.id
LIMIT 5","match
  $u isa user, has name $un;
  chat_activity (chatting_user: $u, channel_with_chatters: $s);
reduce $count = count($s) groupby $un;
sort $count desc;
limit 5;"
